Day,Notes
2013-07-24,Employee Sale
2013-07-25,busy late afternoon 
2013-07-26,Busy Friday
2013-07-27,AW Claremont
2013-07-28,slow Sunday
2013-07-29,Danville Chamber
2013-07-30,Inventory
2013-07-31,
2013-08-01,
2013-08-02,
2013-08-03,
2013-08-04,Walk on Sunday
2013-08-05,
2013-08-06,Nice Day
2013-08-07,Ladies Night Out
2013-08-08,Regular day
2013-08-09,Friday
2013-08-10,Last NCGA Team Match!
2013-08-11,Busy Sunday Afternoon
2013-08-12,NCGA Member-Member Community Event
2013-08-13,Surprise surprise another busy day
2013-08-14,Ditto
2013-08-15,DWGG Guest Day
2013-08-16,Hot Friday
2013-08-17,SAT
2013-08-18,SUN
2013-08-19,
2013-08-20,Quiet and hot Tuesday
2013-08-21,Slow Wed
2013-08-22,DWGG & Seniors
2013-08-23,Typical Friday
2013-08-24,Couples twilight
2013-08-25,Sunday before GP
2013-08-26,
2013-08-27,GP Prep day
2013-08-28,
2013-08-29,
2013-08-30,
2013-08-31,
2013-09-01,Gold Putter Final Round
2013-09-02,
2013-09-03,
2013-09-04, Ladies Twilight 
2013-09-05, DWGG 
2013-09-06, Sick Steph 
2013-09-07, Slow Sat 
2013-09-08, NFL WK 1 
2013-09-09, Barry Foon Community Event 
2013-09-10,Senior Interclub
2013-09-11,
2013-09-12,
2013-09-13,
2013-09-14,Campout Saturday
2013-09-15,Slow Sunday
2013-09-16,Union Bank
2013-09-17,Quiet Tues
2013-09-18,
2013-09-19,
2013-09-20,Neville Dedication; Overcast
2013-09-21,Rainy Saturday
2013-09-22,Busy Sunday
2013-09-23,St. Isidore Community Event
2013-09-24,Holyniners
2013-09-25,Slow Wednesday
2013-09-26,Slow thurs
2013-09-27,Friday
2013-09-28,Couples Cvlub Championship
2013-09-29,CCC Day 2
2013-09-30,Sentinels of freedom
2013-10-01,
2013-10-02,Wednesday that felt like a Friday
2013-10-03,
2013-10-04,
2013-10-05,Bandits Shootout Round 1
2013-10-06,Bandits Shootout Round 2
2013-10-07,
2013-10-08,
2013-10-09,Computer Transition Day 2
2013-10-10,Senior Finale
2013-10-11,Mountain Cup draw
2013-10-12,Mountain Cup round 1
2013-10-13,Wlak on Sunday
2013-10-14,
2013-10-15,aerification of green s
2013-10-16,slow
2013-10-17,AW day off
2013-10-18,Slow Friday
2013-10-19,Slow Saturday Too
2013-10-20,Slow Sunday
2013-10-21,
2013-10-22,
2013-10-23,Clean-up day
2013-10-24,Clean up continues
2013-10-25,Busy Friday
2013-10-26,Nice SaturdaY
2013-10-27,Super Slow Sunday
2013-10-28,End of Year Inventory & Mustang Soccer Event
2013-10-29,Halloween Tournament
2013-10-30,Chilly Wednesday
2013-10-31,Happy Halloween
2013-11-02,Quiet Black Friday
2013-11-02,Thanksgiving
2013-11-02,MIB
2013-11-02,Typical Tuesday
2013-11-02,slow Friday
2013-11-02,AW off
2013-11-02,Windy Friday
2013-11-02,DWGG Turkey Shootout
2013-11-02,Rainy Day
2013-11-02,Add  on Sunday
2013-11-02,Scatch League
2013-11-02,Not Busy
2013-11-02,SLOW    
2013-11-02,Slow Day
2013-11-02,Veterans day
2013-11-02,Couples Turkey Shoot
2013-11-02,SAT
2013-11-02,Warm November Friday
2013-11-02,Informal Gurst Day
2013-11-02,
2013-11-02,AW OFF
2013-11-02,Cool Saturday
2013-11-02,Tunnel Closure
2013-11-02,3-club tournament
2013-12-02,frost delay until 9am - JD tourney
2013-12-02,frost delay until 9am - busy Friday
2013-12-02,No frost
2013-12-02,
2013-12-02,Frost Delay till 9:30am
2013-12-02,Holiday Sale
2013-12-02,Frost Delay til 10am
2013-12-02,Super Slow
2013-12-02,Cold Day
2013-12-02,Employee Sale
2013-12-02,Busy  sales day
2013-12-02,Busy Sunday
2013-12-02,JW off
2013-12-02,frost delay until 9am
2013-12-02,cold Tuesday
2014-01-02,GK's last day
2014-01-02,JW car broke down
2014-01-02,Frost delay until  9am.  Niner game at 3pm
2014-01-02,Frost until 9am 
2014-01-02,Frost until 9am
2014-01-02,Warm
2014-01-02,no Frost!
2014-01-02,Super Slow Thurs
2014-01-02,Frost delay until 9am.  MLK Day
2014-01-02,Greg's last end of day
2014-01-02,SF 49ers WIN
2014-01-02,Slow day big 9ers win!!!!!
2014-01-02,Kyle first Day in shop
2014-01-02,Nice Friday
2014-01-02,No Delay!!!
2014-01-02,
2014-01-02,inventory
2014-01-02,NFL playoffs round 1
2014-01-02,Frost Delay 8 am
2014-01-02,Slow Day
2014-01-02,Happy New Year
2014-01-02,Slow  day
2014-01-02,"Nice, warm day"
2014-01-02,SLOW THURS
2014-02-02,"Light rain in morning, sunny afternoon. "
2014-02-02,
2014-02-02,Frost until 8:30am
2014-02-02,frost delay
2014-02-02,Heavy rain all day
2014-02-02,No rain
2014-02-02,DWGG 
2014-02-02,VDAY
2014-02-02,Warm day. 
2014-02-02,Holiday.
2014-02-02,Holyniners
2014-02-02,Frost til 9am
2014-02-02,KVA first time closing on my own
2014-02-02,Super Bowl  Sunday 
2014-02-02,Junior Golf Registration 
2014-02-02,Rain all day
2014-02-02,Rain in AM. Sun in PM
2014-02-02,Rain in AM
2014-02-02,Busy Sunday 
2014-02-02,144 Players
2014-03-02,Senior Kickoff 
2014-03-02,Warm day
2014-03-02,Busy Fri Duke got upset
2014-03-02,Rain. Very little play
2014-03-02,Rain in PM
2014-03-02,
2014-03-02,Crazy Sunday
2014-03-02,DWGG Mystery Mixer (NO POST)
2014-03-02,Slow Friday (POST)
2014-03-02,DWGG   
2014-03-02,"Busy Saturday, Jr Golf Team"
2014-03-02,DWGG Rules Day
2014-03-02,Busy Sunday 
2014-03-02,Junior Golf Team in PM
2014-03-02,Scattered rain throughout the day
2014-03-02,Monday - Bay Area Benefits event
2014-03-02,"misty morning, nice rest of day."
2014-03-02,overcast day
2014-03-02,USGA Community Event
2014-03-02,Busy Friday
2014-03-02,Sunny day
2014-03-02,Daylight Saving Time Begins
2014-03-02,De La Salle Junior Invitational
2014-03-02,KC back
2014-03-02,"Warm, windy day"
2014-03-02,Rainy Saturday (NO POST)
2014-03-02,Jr. Golf Team in PM
2014-03-02,Titleist Demo Day. Warm!
2014-03-02,2 big upsets in NCAA tournament 
2014-04-02,Non Posting Day
2014-04-02,Non Posting Day. Rain
2014-04-02,Post Scores
2014-04-02,Niners Informal Guest Day
2014-04-02,Posting day. Warm
2014-04-02,"Posting OK. Warm, very busy Sunday."
2014-04-02,
2014-04-02,HOT Tuesday (POST)
2014-04-02,Slow Thursday (POST)
2014-04-02,Busy Friday (POST)
2014-04-02,Sat Masters Go Jordan! (POST)
2014-04-02,Bubba wins! (POST)
2014-04-02,Catholic Charities 
2014-04-02,Easter
2014-04-02,DWGG Formal Guest Day (NO POST)
2014-04-02,East Bay Golf Leage. Post scores
2014-04-02,DWGG Medal Day. Post scores
2014-04-02,MPS 4 Man 
2014-04-02,Hot & Busy. POST
2014-04-02,Slow Tuesday POST
2014-04-02,Carondelet community tournament
2014-04-02,Taylormade Demo Day. Post
2014-04-02,Parent Junior Championship. Post
2014-04-02,Rainy Friday (POST)
2014-04-02,DWGG play day POST Scores
2014-04-02,Non posting day.
2014-05-02,WARM. POST
2014-05-02,Bandit Shootout. POST
2014-05-02,Post (slow Friday)
2014-05-02,Brother Maris tournament
2014-05-02,Mothers Day POST
2014-05-02,
2014-05-02,POST
2014-05-02,Post
2014-05-02,Scotch Club Round 2
2014-05-02,Scotch Club Round 1
2014-05-02,Scotch Practice Rounds POST
2014-05-02,Couples Twilight POST
2014-05-02,Busy Friday POST
2014-05-02,Formal Guest Day POST
2014-05-02,President's Cup Round One
2014-05-02,President's Cup Round Two
2014-05-02,San Damiano community event
2014-05-02,Niners POST
2014-05-02,East Bay Golf League. POST
2014-05-02,Big Wheels POST
2014-05-02,Orange Ball. POST
2014-05-02,HOT Sunday POST
2014-05-02,Memorial Day BBQ! POST Sweeps
2014-05-02,DWGG m/m POST
2014-05-02,HOT! POST.
2014-05-02,"Hot, Four Ball Matches, DWGG Spring Handi Champ Matches; POST"
2014-06-02,DWGG Formal Guest Day POST
2014-06-02,Bandit Shootout Rd 2. POST
2014-06-02,NCPFC Community Tournament
2014-06-02,POST. Sunday Sweeps
2014-06-02,POST
2014-06-02,POST end of Junior Golf School First Session 
2014-06-02,Golf School Day One POST
2014-06-02,Junior Golf Team on Course POST
2014-06-02,Cushman-Wakefield community event
2014-06-02,Couples Sweeps. POST
2014-06-02,Busy Saturday. POST
2014-06-02,Senior Invitational Rd. 2
2014-06-02,Senior Invitational Rd.1
2014-06-02,Kids camp UHGHH POST
2014-06-02,Corena Green & Seniors v CCC Oakhurst and Sequoyah
2014-06-02,DBIA
2014-06-02,WGNCA POST
2014-06-02,Found my mistake that’s why the deposit is more then should be- KVA
2014-06-02,POST. US Open Sunday 
2014-06-02,Junior Achievement Tournament
2014-06-02,Holyniner Team Play POST
2014-06-02,HolySmoker. POST
2014-06-02,MPS M/M Round 1
2014-06-02,EBGL POST
2014-06-02,Fallen Heroes
2014-06-02,
2014-06-02,DWGG Classic Invitational Registration & Practice
2014-06-02,DWGG Classic Round One
2014-06-02,"deposit wrong, must have counted cash wrong- KVA"
2014-06-02,MPS M/M Round 2
2014-07-02,Junior Golf Camp. POST
2014-07-02,Joe Morgan Invitational
2014-07-02,Busy Saturday. Bay Cities.
2014-07-02,Couples Club championship round 2
2014-07-02,Couples Club Championship Round 1
2014-07-02,Captains Tourney Rd1 POST
2014-07-02,TOC Round 1
2014-07-02,Plasterers & Masons
2014-07-02,Couples Invitational
2014-07-02,Diablo Valley Team Play POST
2014-07-02,Flag Day Tournament. Happy 4th! 
2014-07-02,Holyniner Informal guest day
2014-07-02,
2014-07-02,Slow SUN. FRICK goes down
2014-07-02,Bay Cities vs Claremont
2014-07-02,DWGG Informal Guest Day. POST
2014-07-02,Ladies Night Out. POST
2014-07-02,POST
2014-07-02,Slow Tuesday Junior Golf Team POST
2014-07-02,Junior Golf Camp Day 2. POST
2014-07-02,EBGL vs Sequoyah
2014-07-02,Junior Golf Camp Day 3. POST
2014-07-02,Danville Chamber Community Event
2014-07-02,Diablo Day. POST
2014-07-02,Jr. Interclub Matches. POST
2014-07-02,Hot. POST
2014-07-02,SUNDAY POST
2014-08-02,DWGG Guest Day POST
2014-08-02,FINAL GP
2014-08-02,Round 2
2014-08-02,Round 1
2014-08-02,The Gathering and Concept Shop
2014-08-02,Pre Putter. POST
2014-08-02,
2014-08-02,POST Party on the Green
2014-08-02,Employee Sale
2014-08-02,Captains Tournament
2014-08-02,Busy Friday POST
2014-08-02,Saint Mary's
2014-08-02,Patriot Golf Day/Folds of Honor Foundation. POST
2014-08-02,Past Presidents Shotgun
2014-08-02,Senior Interclub    
2014-08-02,Senior Interclub Tournament. POST
2014-08-02,DentPro event
2014-08-02,Chilly Am 
2014-08-02,Couples Twilight  POST
2014-08-02,FRIDAY POST
2014-08-02,Directos Cup
2014-08-02,Busy Sunday. POST
2014-08-02,CBRE - Prosser Tournament
2014-08-02,Drizzle Holyniners POST
2014-08-02,POST
2014-08-02,Junior Club Championship. POST 
2014-08-02,Holyniners TOC
2014-09-02,Seniors HOME 1pm SG POST
2014-09-02,POST. Sunny Day
2014-09-02,Bishop Ranch Community Event
2014-09-02,The 1914
2014-09-02,1914 GROSS Qualifier & Fiesta de Golf
2014-09-02,Collins Club Champ 37th Hole
2014-09-02,Union Bank
2014-09-02,TOC Final Round 
2014-09-02,DWGG Frinal Round
2014-09-02,1914 Net Match Play
2014-09-02,194 Net Match Play
2014-09-02,1914 Net Match Play Final
2014-09-02,St. Isidore Community Event
2014-09-02,Holyniner Formal Guest Day
2014-09-02,St.Marys dude shoots unoffical course record 61
2014-09-02,Busy Friday Pre Centennial
2014-09-02,Centennial Celebration
2014-09-02,DWGG Club Champ Round 1
2014-09-02,Holyniner Play Day
