rounds,walkers,tourney,date,DOW
29.0,6.0,0.0,2012-12-12,2
24.0,9.0,0.0,2012-12-13,3
39.0,22.0,0.0,2012-12-14,4
61.0,22.0,0.0,2012-12-15,5
42.0,24.0,0.0,2012-12-16,6
0.0,0.0,0.0,2012-12-17,0
23.0,12.0,0.0,2012-12-18,1
56.0,14.0,0.0,2012-12-19,2
33.0,11.0,0.0,2012-12-20,3
11.0,9.0,0.0,2012-12-21,4
3.0,3.0,0.0,2012-12-22,5
4.0,0.0,0.0,2012-12-23,6
42.0,17.0,0.0,2012-12-24,0
0.0,0.0,0.0,2012-12-25,1
15.0,8.0,0.0,2012-12-26,2
77.0,17.0,0.0,2012-12-27,3
63.0,23.0,0.0,2012-12-28,4
26.0,12.0,0.0,2012-12-29,5
44.0,25.0,0.0,2012-12-30,6
58.0,15.0,0.0,2012-12-31,0
43.0,7.0,0.0,2013-01-01,1
31.0,17.0,0.0,2013-01-02,2
32.0,6.0,0.0,2013-01-03,3
77.0,29.0,0.0,2013-01-04,4
82.0,26.0,0.0,2013-01-05,5
32.0,11.0,0.0,2013-01-06,6
0.0,0.0,0.0,2013-01-07,0
28.0,17.0,0.0,2013-01-08,1
45.0,18.0,0.0,2013-01-09,2
20.0,9.0,0.0,2013-01-10,3
70.0,27.0,0.0,2013-01-11,4
47.0,18.0,0.0,2013-01-12,5
37.0,12.0,0.0,2013-01-13,6
0.0,0.0,0.0,2013-01-14,0
16.0,5.0,0.0,2013-01-15,1
45.0,8.0,0.0,2013-01-16,2
48.0,11.0,0.0,2013-01-17,3
78.0,19.0,0.0,2013-01-18,4
96.0,34.0,0.0,2013-01-19,5
27.0,18.0,0.0,2013-01-20,6
49.0,19.0,0.0,2013-01-21,0
39.0,20.0,0.0,2013-01-22,1
36.0,10.0,0.0,2013-01-23,2
32.0,9.0,0.0,2013-01-24,3
75.0,25.0,0.0,2013-01-25,4
87.0,35.0,0.0,2013-01-26,5
81.0,19.0,0.0,2013-01-27,6
0.0,0.0,0.0,2013-01-28,0
38.0,17.0,0.0,2013-01-29,1
55.0,21.0,0.0,2013-01-30,2
51.0,11.0,0.0,2013-01-31,3
89.0,30.0,0.0,2013-02-01,4
105.0,34.0,0.0,2013-02-02,5
63.0,36.0,0.0,2013-02-03,6
0.0,0.0,0.0,2013-02-04,0
65.0,15.0,35.0,2013-02-05,1
42.0,19.0,0.0,2013-02-06,2
28.0,4.0,0.0,2013-02-07,3
77.0,29.0,0.0,2013-02-08,4
89.0,45.0,0.0,2013-02-09,5
80.0,39.0,0.0,2013-02-10,6
0.0,0.0,0.0,2013-02-11,0
45.0,21.0,0.0,2013-02-12,1
56.0,23.0,0.0,2013-02-13,2
45.0,8.0,28.0,2013-02-14,3
102.0,32.0,0.0,2013-02-15,4
114.0,42.0,0.0,2013-02-16,5
106.0,39.0,0.0,2013-02-17,6
103.0,37.0,0.0,2013-02-18,0
0.0,0.0,0.0,2013-02-19,1
39.0,17.0,0.0,2013-02-20,2
39.0,11.0,0.0,2013-02-21,3
97.0,27.0,0.0,2013-02-22,4
78.0,34.0,0.0,2013-02-23,5
115.0,33.0,0.0,2013-02-24,6
0.0,0.0,0.0,2013-02-25,0
54.0,30.0,0.0,2013-02-26,1
66.0,25.0,0.0,2013-02-27,2
62.0,5.0,31.0,2013-02-28,3
118.0,43.0,0.0,2013-03-01,4
102.0,52.0,0.0,2013-03-02,5
108.0,47.0,0.0,2013-03-03,6
0.0,0.0,0.0,2013-03-04,0
37.0,15.0,0.0,2013-03-05,1
28.0,15.0,0.0,2013-03-06,2
34.0,9.0,0.0,2013-03-07,3
101.0,30.0,0.0,2013-03-08,4
102.0,35.0,0.0,2013-03-09,5
